metric,sub_sector,scale_tier,geo,period,low,point,high,unit,n_observations,small_n_flag,source_basis,verification_status,source_count,citations,internal_anchor_count,dataroom_anchor_count,disagreement_flag,disagreement_note,overlay_factor_hook,overlay_neutral_value,notes
out_year_escalator_pct,all,all,national,bid-2026,0.025,0.035,0.04,fraction_annual,4,Y,summit_internal_bid,verified,1,"Summit bid teardowns|2026|Summit Pricing Models/_Teardowns/Summit — Cross-Deal Pricing Model Synthesis - v1.md|out-year escalators 2.5-4.0% with CPI cap 3-5% (HSD214 4.0%, Alton 4/4/3/3%, CCC 3% cap5%, Fresno 2.5% cap3%)|verified",4,0,N,,none,0.035,Locked out-year price escalators; context.
outsource_share_pct,Y,all,national,2019_BCG_vintage,0.38,0.38,0.38,fraction,1,Y,dataroom_synthesis,unverifiable,1,BCG (via Onboarding memo)|2019|02_Corp_Dev_Research/Research Database Work/Onboarding Day Materials/Analysis Outputs/Onboarding_Market_Strategy_Memo.md|outsource share ~ 38%; top-3 players ~ 50% share|unverifiable,0,1,N,,none,0.38,Pre-COVID BCG vintage.
overhead_pct_revenue,all,all,national,bid-2026,0.05,0.05,0.05,fraction_of_revenue,1,Y,summit_internal_bid,verified,1,"Summit bid models (Stnd_Costs_Other!C62)|2026|Summit Pricing Models/_Teardowns/HSD 214 (Arlington Heights), IL — Pricing Model Teardown - v1.md|OH allocation = 5% of revenue (E49 = E12 x 5%) — identical across HSD214/Alton/CCC|verified",1,0,N,,none,0.05,"Template constant in Summit bid models — single assumption, NOT four independent observations."
spare_ratio,all,all,national,bid-2026,0.106,0.15,0.18,fraction_of_fleet,4,Y,summit_internal_bid,verified,1,Summit bid teardowns + Notes §8.4|2026|Summit Pricing Models/_Teardowns/Summit — Cross-Deal Pricing Model Synthesis - v1.md|spare ratio ~10.6-18% across bids; ~15% standard|verified,4,0,N,,none,0.15,Active route buses / total fleet; ~15% standard.
startup_cost_per_bus,all,all,national,bid-2026,9800,10400,12600,USD_per_vehicle_one_time,4,Y,summit_internal_bid,verified,1,"Summit bid teardowns|2026|Summit Pricing Models/_Teardowns/Summit — Cross-Deal Pricing Model Synthesis - v1.md|startup/bus: HSD214 ~$10.4K, CCC ~$12.6K, Fresno ~$9.8K, Alton ~$11.9K(PDF)|verified",4,0,N,,none,10400,One-time mobilization cost per vehicle.
tam_outsourced_yellow_usd_bn,Y,all,national,2019_BCG_vintage,11.5,11.5,11.5,USD_billion,1,Y,dataroom_synthesis,unverifiable,1,BCG (via Onboarding memo)|2019|02_Corp_Dev_Research/Research Database Work/Onboarding Day Materials/Analysis Outputs/Onboarding_Market_Strategy_Memo.md|available outsourced yellow-bus market ~ $11.5B; long-term growth ~3.4%|unverifiable,0,1,N,,none,11.5,Pre-COVID BCG vintage.
tam_total_usd_bn,Y,all,national,2019_BCG_vintage,38,38,38,USD_billion,1,Y,dataroom_synthesis,unverifiable,1,BCG (via Onboarding memo)|2019|02_Corp_Dev_Research/Research Database Work/Onboarding Day Materials/Analysis Outputs/Onboarding_Market_Strategy_Memo.md|total student transportation TAM ~ $38B|unverifiable,0,1,N,,none,38,Pre-COVID BCG vintage; treat as dated context.
ev_mandate_stringency,all,all,CA,2026,0.8,0.8,0.8,ordinal_0to1,1,Y,dataroom_evidence,verified,1,State EV-mandate primary docs (data room lane 09 / state)|2026|02_Corp_Dev_Research/.../evidence_facts.csv|CA Advanced Clean Trucks / AB-579 zero-emission school bus mandates (data-room lane 09)|verified,0,1,N,,outsourcing_ev_mandate,0.2,Capex headwind on the target; partially offset by EPA Clean School Bus grants. Higher=more stringent.
ev_mandate_stringency,all,all,NY,2026,0.7,0.7,0.7,ordinal_0to1,1,Y,dataroom_evidence,verified,1,State EV-mandate primary docs (data room lane 09 / state)|2026|02_Corp_Dev_Research/.../evidence_facts.csv|NY Zero-Emission School Bus acquisition requirement effective 2027-07-01 (new purchases ZEB-only)|verified,0,1,N,,outsourcing_ev_mandate,0.2,Capex headwind on the target; partially offset by EPA Clean School Bus grants. Higher=more stringent.
ev_mandate_stringency,all,all,PA,2026,0.2,0.2,0.2,ordinal_0to1,1,Y,dataroom_evidence,verified,1,State EV-mandate primary docs (data room lane 09 / state)|2026|02_Corp_Dev_Research/.../evidence_facts.csv|PA propane deployment is voluntary (EP-ACT) — no ZEB purchase mandate|verified,0,1,N,,outsourcing_ev_mandate,0.2,Capex headwind on the target; partially offset by EPA Clean School Bus grants. Higher=more stringent.
ev_mandate_stringency,all,all,national,2026,0.1,0.2,0.3,ordinal_0to1,1,Y,dataroom_synthesis,unverifiable,1,Data-room electrification lane (national)|2026|02_Corp_Dev_Research/.../evidence_facts.csv|most states have voluntary/grant-funded adoption (EPA CSB) rather than purchase mandates|unverifiable,0,1,N,,outsourcing_ev_mandate,0.2,National fallback.
outsourcing_acceptance,Y,all,FL,2026,0.6,0.6,0.6,ordinal_0to1,1,Y,dataroom_synthesis,verified,1,Onboarding Market Strategy Memo + data-room state docs|2026-06-08|02_Corp_Dev_Research/Research Database Work/Onboarding Day Materials/Analysis Outputs/Onboarding_Market_Strategy_Memo.md|FL OPPAGA 'Privatization of Student Transportation' study — active privatization debate|verified,0,1,N,,outsourcing_ev_mandate,0.45,Ordinal posture (higher=more private-contracting-friendly). Numeric contracted-share by state deferred (PDF-bound).
outsourcing_acceptance,Y,all,GA,2026,0.45,0.45,0.45,ordinal_0to1,1,Y,dataroom_synthesis,verified,1,Onboarding Market Strategy Memo + data-room state docs|2026-06-08|02_Corp_Dev_Research/Research Database Work/Onboarding Day Materials/Analysis Outputs/Onboarding_Market_Strategy_Memo.md|national fallback — not specifically called in memo|verified,0,1,N,,outsourcing_ev_mandate,0.45,Ordinal posture (higher=more private-contracting-friendly). Numeric contracted-share by state deferred (PDF-bound).
outsourcing_acceptance,Y,all,IN,2026,0.4,0.4,0.4,ordinal_0to1,1,Y,dataroom_synthesis,verified,1,Onboarding Market Strategy Memo + data-room state docs|2026-06-08|02_Corp_Dev_Research/Research Database Work/Onboarding Day Materials/Analysis Outputs/Onboarding_Market_Strategy_Memo.md|memo: selective w/ guardrails — charter-school payment / year-to-year risk|verified,0,1,N,,outsourcing_ev_mandate,0.45,Ordinal posture (higher=more private-contracting-friendly). Numeric contracted-share by state deferred (PDF-bound).
outsourcing_acceptance,Y,all,MO,2026,0.45,0.45,0.45,ordinal_0to1,1,Y,dataroom_synthesis,verified,1,Onboarding Market Strategy Memo + data-room state docs|2026-06-08|02_Corp_Dev_Research/Research Database Work/Onboarding Day Materials/Analysis Outputs/Onboarding_Market_Strategy_Memo.md|national fallback — not specifically called in memo|verified,0,1,N,,outsourcing_ev_mandate,0.45,Ordinal posture (higher=more private-contracting-friendly). Numeric contracted-share by state deferred (PDF-bound).
outsourcing_acceptance,Y,all,NY,2026,0.55,0.55,0.55,ordinal_0to1,1,Y,dataroom_synthesis,verified,1,Onboarding Market Strategy Memo + data-room state docs|2026-06-08|02_Corp_Dev_Research/Research Database Work/Onboarding Day Materials/Analysis Outputs/Onboarding_Market_Strategy_Memo.md|memo: selective NY; NYC Comptroller audit of contracted bus services (contracting under scrutiny)|verified,0,1,N,,outsourcing_ev_mandate,0.45,Ordinal posture (higher=more private-contracting-friendly). Numeric contracted-share by state deferred (PDF-bound).
outsourcing_acceptance,Y,all,PA,2026,0.8,0.8,0.8,ordinal_0to1,1,Y,dataroom_synthesis,verified,1,"Onboarding Market Strategy Memo + data-room state docs|2026-06-08|02_Corp_Dev_Research/Research Database Work/Onboarding Day Materials/Analysis Outputs/Onboarding_Market_Strategy_Memo.md|memo: PRIORITIZE (high-outsourcing PA markets, suburban Philadelphia)|verified",0,1,N,,outsourcing_ev_mandate,0.45,Ordinal posture (higher=more private-contracting-friendly). Numeric contracted-share by state deferred (PDF-bound).
outsourcing_acceptance,Y,all,UT,2026,0.25,0.25,0.25,ordinal_0to1,1,Y,dataroom_synthesis,verified,1,"Onboarding Market Strategy Memo + data-room state docs|2026-06-08|02_Corp_Dev_Research/Research Database Work/Onboarding Day Materials/Analysis Outputs/Onboarding_Market_Strategy_Memo.md|memo: WATCHLIST — low outsourcing, district-run transportation (tension w/ leadership UT interest)|verified",0,1,N,,outsourcing_ev_mandate,0.45,Ordinal posture (higher=more private-contracting-friendly). Numeric contracted-share by state deferred (PDF-bound).
ebitda_margin,S,all,national,FY2025,0.23,0.27,0.34,fraction_of_revenue,3,Y,summit_internal_deal,verified,1,"Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline|2026-06-15|Deal_and_Person_Notes_V1.md|Solaris ~95% SpEd, ~40% gross margin vs ~25% core, ~26.8% EBITDA; NJ Kids 33.8%, Romeo 32.4% (SpEd-tilted)|verified",3,0,Y,n=3; SpEd premium directional.,size_margin_signal,0.27,SpEd ~40% gross margin vs ~25% core (transcript). Higher-margin mix is leadership's stated 'gold'.
ebitda_margin,Y,platform,national,FY2024-25,0.11,0.125,0.14,fraction_of_revenue,2,Y,mixed,verified,2,Mobico FY24 (NA School Bus adj EBITDA)|2025|02_Corp_Dev_Research/Summit Research/06_Valuation-and-Transaction-Multiples/CLAUDE.md|~$122M adj EBITDA on ~$1.1B revenue => ~11%|verified;;Project Scarlet IM (post-corporate EBITDA)|2024|Deal_and_Person_Notes_V1.md|~$153M post-corporate EBITDA on ~$1.1bn => ~14%|verified,1,1,Y,Platform EBITDA varies by definition: ~$122M adj (Mobico FY24) vs ~$153M post-corporate (Scarlet IM).,size_margin_signal,0.125,Platform margin << tuck-in adj margins — scale/corporate-overhead effect.
ebitda_margin,all,all,national,FY2025,0.155,0.2,0.34,fraction_of_revenue,11,N,summit_internal_deal,verified,1,"Summit live/pipeline operator adj. EBITDA margins|2026-06-15|Deal_and_Person_Notes_V1.md|Evergreen 23.4%, Brabe 18.8%, North 17.5%, Solaris ~26.8%, Comet 15.8%, Romeo 32.4%, Surrey 15.6%, NJ Kids 33.8%, Seneca 16.7%, Lehigh 25.7%|verified",11,0,N,,size_margin_signal,0.2,"Adjusted EBITDA margins as represented in target profiles/pipeline (pipeline-indicative, pre-QoE-close)."
revenue_per_bus_per_year,S,all,national,FY2025/bid-2026,90000,105000,113000,USD_per_vehicle_per_year,4,Y,mixed,verified,1,"Summit SpEd-heavy bids/deals|2026|Summit Pricing Models/_Teardowns/Summit — Cross-Deal Pricing Model Synthesis - v1.md|CCC (SpEd-rich) $105.8K/veh, Fresno (SpEd-only) $98.6K/veh; Solaris (~95% SpEd) ~$113K/veh|verified",3,0,Y,"n=4; SpEd premium is directional, not tightly estimated.",size_margin_signal,105000,"SpEd carries higher per-route rates (aide/monitor coverage, Type A/WC mix)."
revenue_per_bus_per_year,all,all,national,FY2025/bid-2026,78000,98000,113000,USD_per_vehicle_per_year,12,N,mixed,verified,2,"Summit bid teardowns (HSD214/Alton/CCC/Fresno)|2026|Summit Pricing Models/_Teardowns/Summit — Cross-Deal Pricing Model Synthesis - v1.md|rev/veh: HSD214 $82.7K, Alton $98.3K, CCC $105.8K, Fresno $98.6K (revenue/fleet from teardowns)|verified;;Summit live/pipeline deals|2026-06-15|Deal_and_Person_Notes_V1.md|Evergreen $24.4M/230=$106K; Brabe $14.6M/158=$92K; North $8.0M/75=$107K; Solaris $97M/860=$113K; NJ Kids $14.5M/187=$78K|verified",8,0,N,,size_margin_signal,98000,Observations cluster 40-860 vehicles; sub-50-bus micro-operators are an extrapolation. Comet ($168K/veh) excluded as charter-mixed outlier.
entry_multiple_tuckin,all,all,national,2026,3.0,4.0,5.0,multiple_of_EBITDA,3,Y,summit_internal_deal,verified,2,"Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1)|2026-06-15|Deal_and_Person_Notes_V1.md|buy tuck-ins at ~3-5x, build toward platform ~8x; IOI heuristic ~4.0-4.5x trailing TTM adj EBITDA|verified;;Evergreen IOI / North|2026|Deal_and_Person_Notes_V1.md|Evergreen IOI 4.0-5.0x; North ~3.0-3.5x corroborate the band|verified",3,0,N,,valuation_attractiveness,4.0,The entry multiple applied in the implied-EV-at-entry computation.
ev_ebitda_multiple,all,platform,national,2018-2025,5.0,6.0,9.0,multiple_of_EBITDA,4,Y,external_filing,verified,4,Mobico/NELLC -> I Squared (FY24)|2025-07|02_Corp_Dev_Research/Summit Research/06_Valuation-and-Transaction-Multiples/CLAUDE.md|$608M EV + up to $70M earnout; ~5.0x FY24 post-IFRS16 / ~5.6x pre on ~$122M adj EBITDA; closed Jul 2025|verified;;FirstGroup/First Student -> EQT|2021-04|02_Corp_Dev_Research/Summit Research/06_Valuation-and-Transaction-Multiples/CLAUDE.md|~$4.6B EV; ~8.9x FY20 EBITDA (pre-IFRS16)|verified;;Beacon Mobility (Audax/Northleaf) sale process|2023-11|02_Corp_Dev_Research/Summit Research/06_Valuation-and-Transaction-Multiples/CLAUDE.md|reported ~$200M EBITDA; indicated 9-10x; process did NOT close|unverifiable;;Student Transportation Inc. -> CDPQ|2018-02|02_Corp_Dev_Research/Summit Research/06_Valuation-and-Transaction-Multiples/CLAUDE.md|~$1.1B; $7.50/share|verified,0,4,Y,"Multiples swing ~1 turn pre- vs post-IFRS16/ASC-842 (Mobico 5.0x post / 5.6x pre). Beacon 9-10x was indicated, non-closed.",valuation_attractiveness,6.0,Maps to 250+ scale tier. Platform multiples > tuck-in — the arbitrage spread.
ev_ebitda_multiple,all,tuck-in,national,2025-2026,3.0,4.5,6.6,multiple_of_EBITDA,6,N,mixed,verified,2,"Summit tuck-in deals + IOI heuristic|2026-06-15|Deal_and_Person_Notes_V1.md|Evergreen IOI 4.0-5.0x FY25A; revised 3.7x cash; North ~3.0-3.5x; Brabe ~6.6x implied floor; IOI heuristic 4.0-4.5x TTM (Notes §8.1)|verified;;Practitioner rules-of-thumb (transport)|2025|02_Corp_Dev_Research/Summit Research/06_Valuation-and-Transaction-Multiples/CLAUDE.md|transportation ~3.6-3.9x EBITDA (DealStats/GF Data-type datasets, to verify)|unverifiable",5,1,N,,valuation_attractiveness,4.5,Tuck-in entry band. Maps to <50 and 50-250 scale tiers via the brief-03 adapter.
ev_per_bus,all,tuck-in,national,2025-2026,67000,100000,130000,USD_per_vehicle,4,Y,mixed,verified,2,"Summit tuck-in deals|2026-06-15|Deal_and_Person_Notes_V1.md|North $5-6M/75=$67-80K; Evergreen $18M cash/230=$78K, $30M total/230=$130K; Brabe $17.8M/158=$113K|verified;;Practitioner per-bus rule-of-thumb|2025|02_Corp_Dev_Research/Summit Research/06_Valuation-and-Transaction-Multiples/CLAUDE.md|~$80K-$250K per bus (size/contract dependent)|unverifiable",3,1,Y,EV/bus varies strongly with margin/mix: Scarlet platform implies ~$43K/bus at 5x on ~11% margin; high-margin tuck-ins clear $78-130K. Do NOT apply platform $/bus to high-margin tuck-ins.,valuation_attractiveness,100000,Secondary EV cross-check; EV/EBITDA x implied EBITDA is the primary EV method.
